#NVAR: 8
#VARNAMES: ROW  MJD Duration PWV PWV_ERR Pressure Temp Tdelay

# Suominet file: CTIO_2013global.plt 
ROW: 20130812/0345  56516.15625  30  7.6  0.6  780.0  7.9  1828.5 
ROW: 20130812/0414  56516.17708  30  7.6  1.0  780.0  7.6  1828.0 
ROW: 20130812/0445  56516.19792  30  7.8  1.0  780.0  7.3  1829.6 
ROW: 20130812/0515  56516.21875  30  7.6  0.5  780.0  7.1  1828.5 
ROW: 20130812/0544  56516.23958  30  8.1  0.4  779.2  7.0  1829.9 
ROW: 20130812/0615  56516.26042  30  7.3  0.9  779.0  6.9  1823.9 
ROW: 20130812/0645  56516.28125  30  6.5  0.9  778.9  6.6  1819.0 
ROW: 20130812/0714  56516.30208  30  7.6  0.5  778.0  6.8  1824.0 
ROW: 20130812/0745  56516.32292  30  8.4  0.5  778.0  6.7  1829.0 
ROW: 20130812/0815  56516.34375  30  8.9  0.4  778.0  6.9  1831.9 
ROW: 20130812/0844  56516.36458  30  8.7  0.4  778.0  6.7  1830.8 
ROW: 20130812/0915  56516.38542  30  8.3  0.4  778.0  6.3  1828.5 
ROW: 20130812/0945  56516.40625  30  7.9  0.5  778.0  5.7  1826.2 
ROW: 20130812/1014  56516.42708  30  8.2  0.5  778.0  5.9  1828.1 
ROW: 20130812/1045  56516.44792  30  8.1  0.5  778.0  5.8  1827.1 
ROW: 20130812/1115  56516.46875  30  7.8  0.4  778.0  5.8  1825.4 
ROW: 20130812/1144  56516.48958  30  8.8  0.4  778.3  6.4  1832.4 
ROW: 20130812/1215  56516.51042  30  8.5  0.4  778.6  7.6  1830.6 
ROW: 20130812/1245  56516.53125  30  7.7  0.4  779.0  9.2  1826.4 
ROW: 20130812/1314  56516.55208  30  7.3  0.7  779.0  9.7  1824.0 
ROW: 20130812/1345  56516.57292  30  7.3  0.6  778.9  10.0  1823.4 
ROW: 20130812/1415  56516.59375  30  8.0  0.4  778.7  10.0  1827.6 
ROW: 20130812/1444  56516.61458  30  7.7  0.4  779.0  9.5  1826.3 
ROW: 20130812/1515  56516.63542  30  7.5  0.4  779.0  9.7  1825.3 
ROW: 20130812/1545  56516.65625  30  7.5  0.8  779.0  9.4  1825.0 
ROW: 20130812/1614  56516.67708  30  6.1  1.0  778.2  8.9  1814.4 
ROW: 20130812/1645  56516.69792  30  5.6  0.7  778.0  9.5  1811.0 
ROW: 20130812/1715  56516.71875  30  6.1  0.4  778.0  9.9  1813.9 
ROW: 20130812/1744  56516.73958  30  5.2  0.4  777.2  9.6  1806.5 
ROW: 20130812/1815  56516.76042  30  4.6  0.3  777.0  9.5  1802.1 
ROW: 20130812/1845  56516.78125  30  4.4  0.8  777.0  8.2  1800.8 
ROW: 20130812/1914  56516.80208  30  4.5  1.0  777.0  6.2  1801.5 
ROW: 20130812/1945  56516.82292  30  4.7  0.5  776.2  7.0  1801.0 
ROW: 20130812/2015  56516.84375  30  4.5  0.4  776.0  6.4  1799.6 
ROW: 20130812/2044  56516.86458  30  5.0  0.5  776.0  5.0  1802.6 
ROW: 20130812/2115  56516.88542  30  4.7  0.4  776.3  4.3  1801.4 
ROW: 20130812/2145  56516.90625  30  4.9  0.4  776.9  4.7  1803.9 
ROW: 20130812/2214  56516.92708  30  4.8  0.4  777.0  4.4  1803.7 
ROW: 20130812/2245  56516.94792  30  3.5  0.5  777.0  4.4  1795.3 
ROW: 20130812/2315  56516.96875  30  2.5  0.6  777.0  4.5  1789.1 
ROW: 20130812/2344  56516.98958  30  2.5  0.8  776.9  4.8  1788.3 
ROW: 20130813/0015  56517.01042  30  3.3  0.7  777.0  4.4  1793.8 
ROW: 20130813/0045  56517.03125  30  3.7  0.8  777.0  4.2  1796.5 
ROW: 20130813/0114  56517.05208  30  3.7  0.9  777.0  4.3  1796.5 
ROW: 20130813/0145  56517.07292  30  3.9  0.4  777.0  4.8  1798.0 
ROW: 20130813/0215  56517.09375  30  3.7  0.5  777.0  4.4  1796.4 
ROW: 20130813/0244  56517.11458  30  3.0  0.4  777.0  3.7  1792.3 
ROW: 20130813/0315  56517.13542  30  2.3  0.6  777.0  3.8  1787.7 
ROW: 20130813/0345  56517.15625  30  2.4  0.6  777.0  4.1  1788.5 
ROW: 20130813/0414  56517.17708  30  3.1  1.0  777.0  4.0  1793.0 
ROW: 20130813/0445  56517.19792  30  2.7  0.9  777.0  4.1  1790.4 
ROW: 20130813/0515  56517.21875  30  2.6  0.5  777.0  4.1  1789.5 
ROW: 20130813/0544  56517.23958  30  2.8  0.5  777.0  4.3  1791.1 
ROW: 20130813/0615  56517.26042  30  2.2  0.9  777.0  4.2  1786.6 
ROW: 20130813/0645  56517.28125  30  1.6  0.9  777.0  4.3  1783.1 
ROW: 20130813/0714  56517.30208  30  1.3  0.5  777.0  4.5  1781.0 
ROW: 20130813/0745  56517.32292  30  0.8  0.5  777.0  4.9  1777.7 
ROW: 20130813/0815  56517.34375  30  1.3  0.5  777.0  5.0  1780.9 
ROW: 20130813/0844  56517.36458  30  0.9  0.4  777.0  5.2  1778.5 
ROW: 20130813/0915  56517.38542  30  0.2  0.5  777.0  5.5  1774.0 
ROW: 20130813/0945  56517.40625  30  0.5  0.5  777.0  5.9  1775.9 
ROW: 20130813/1014  56517.42708  30  0.7  0.5  777.0  6.2  1777.3 
